2230h	29	11.55	29	1.0
dozydot	36	11.33	36	1.0
textsopensourcemedia	58	10.86	58	1.0
jv33	45	11.11	45	1.0
trendtechnetwork	30	11.51	30	1.0
softwareclassicpcgam	38	11.28	38	1.0
kwikcov	162	9.83	162	1.0
50carton	25	11.70	25	1.0
a2357	28	11.58	28	1.0
rahtalk	38	11.28	38	1.0
ramanichandran	69	10.68	69	1.0
deronwilliam	36	11.33	36	1.0
celebrityrewind	28	11.58	28	1.0
36ca	45	11.11	45	1.0
techniglov	40	11.23	40	1.0
koolit	41	11.20	41	1.0
aktualnoci	38	11.28	38	1.0
xxxsignatur	30	11.51	30	1.0
edgepersian	28	11.58	28	1.0
textsjstorzeitgesastaa	46	11.09	46	1.0
camdolli	44	11.13	44	1.0
edgeround	90	10.42	90	1.0
nolacam	169	9.79	169	1.0
softwarediscogsdump	47	11.07	47	1.0
krivastock	110	10.22	110	1.0
462852	25	11.70	25	1.0
optem	40	11.23	40	1.0
betteback	26	11.66	26	1.0
brooklopez	36	11.33	36	1.0
championsinc	27	11.62	27	1.0
30x96x30	55	10.91	55	1.0
inrecess	112	10.20	112	1.0
clickag	34	11.39	34	1.0
piecesunit	34	11.39	34	1.0
indepthflat	32	11.45	32	1.0
qnty	34	11.39	34	1.0
2234h	57	10.87	57	1.0
camcarri	65	10.74	65	1.0
elock	109	10.22	109	1.0
stnlss	30	11.51	30	1.0
pinoytvshow	298	9.22	298	1.0
wadj	46	11.09	46	1.0
gauag	25	11.70	25	1.0
shipika6	31	11.48	31	1.0
joejohnson	27	11.62	27	1.0
mtechtip	36	11.33	36	1.0
a2356	32	11.45	32	1.0
textsopensourc	52	10.96	52	1.0
mstone2	32	11.45	32	1.0
2812d	59	10.84	59	1.0
toppersian	28	11.58	28	1.0
arcoroc	53	10.95	53	1.0
edgeyellow	28	11.58	28	1.0
fansincedayon	30	11.51	30	1.0
packnwood	93	10.38	93	1.0
hockeytubenet	95	10.36	95	1.0
quedi	27	11.62	27	1.0
questionsnew	210	9.57	209	0.9952380952380953
manipulationproof	103	10.28	102	0.9902912621359223
topchampagn	95	10.36	94	0.9894736842105263
edgechampagn	93	10.38	92	0.989247311827957
colorgrain	81	10.52	80	0.9876543209876543
engineeringproject	218	9.53	215	0.9862385321100917
16304	336	9.10	331	0.9851190476190477
tabco	2058	7.29	2026	0.9844509232264335
backarms89bal	119	10.14	117	0.9831932773109243
wpooltable89arm	57	10.87	56	0.9824561403508771
camcart	54	10.93	53	0.9814814814814815
santec	51	10.98	50	0.9803921568627451
topnavi	50	11.00	49	0.98
cgrundertow	49	11.02	48	0.9795918367346939
edgenavi	49	11.02	48	0.9795918367346939
1914w	48	11.04	47	0.9791666666666666
swrnn	430	8.85	421	0.9790697674418605
brooklynnet	94	10.37	92	0.9787234042553191
focusfoodservic	139	9.98	136	0.9784172661870504
artsilhoutt	91	10.40	89	0.978021978021978
dinex	259	9.36	253	0.9768339768339769
masterbilt	43	11.15	42	0.9767441860465116
ceramiczn	85	10.47	83	0.9764705882352941
1000ct	42	11.18	41	0.9761904761904762
tvnba	42	11.18	41	0.9761904761904762
edgepurpl	41	11.20	40	0.975609756097561
toppurpl	41	11.20	40	0.975609756097561
coltrain	41	11.20	40	0.975609756097561
phylrich	81	10.52	79	0.9753086419753086
polmedia	159	9.85	155	0.9748427672955975
14304	515	8.67	502	0.974757281553398
rimful	39	11.25	38	0.9743589743589743
vovworld	39	11.25	38	0.9743589743589743
entertainmentcanadanetwork	37	11.30	36	0.972972972972973
brewwis	37	11.30	36	0.972972972972973
altoshaam	145	9.94	141	0.9724137931034482
1000case	36	11.33	35	0.9722222222222222
crestwar	35	11.36	34	0.9714285714285714
competitionuefa	35	11.36	34	0.9714285714285714
enclum	140	9.97	136	0.9714285714285714
cooperatkin	34	11.39	33	0.9705882352941176
1112d	68	10.70	66	0.9705882352941176
